Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrix_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_NewZealand_HongKong	clockRate.c:h3n2_2deme	proportionInvariant.s:h3n2_2deme	kappa.s:h3n2_2deme	freqParameter.s:h3n2_2deme1	freqParameter.s:h3n2_2deme2	freqParameter.s:h3n2_2deme3	freqParameter.s:h3n2_2deme4	
1904000	-4586.426436589466	-4522.609215016588	-63.817221572878566	-4522.609215016588	6.832420968999384	39.291630594222255	31.13383696485301	8.157793629369259	0	10	39	20	0	1.8813225690026896	0.20934225708182522	0.01665052220394573	1.1276298989571159	0.004141511176451642	0.29898524474278315	6.317413313544641	0.3245340769504777	0.21326393462077	0.20360516250056948	0.25859682592818384	
1905000	-4592.076652453238	-4523.086102874956	-68.99054957828224	-4523.086102874956	6.787994192665618	38.68480287336227	30.398685534974426	8.286117338387859	0	10	39	20	0	1.408628175218963	0.4195389160218596	0.007018070121168138	1.1285757018348004	0.004542165072636258	0.388117295331455	5.364370216078581	0.3245340769504777	0.21326393462077	0.20360516250056948	0.25859682592818384	
1906000	-4586.734650808836	-4521.866950408807	-64.8677004000294	-4521.866950408807	6.985856123963427	39.289812567168184	32.52757347589973	6.762239091268454	0	11	40	19	0	2.44599944185643	0.21712182955766296	0.024101724613866497	1.4150806961997875	0.004214157955019436	0.388117295331455	7.325403916544169	0.3245340769504777	0.21326393462077	0.20360516250056948	0.25859682592818384	
1907000	-4589.171932772533	-4528.2892506435555	-60.88268212897767	-4528.2892506435555	7.091271682942515	39.12672195681189	31.56734812778143	7.55937382903046	0	11	40	19	0	1.3775959742580517	0.2034965779772788	0.011871591148725569	1.3750789482615813	0.004433080995825957	0.43997733464735794	7.325403916544169	0.3245340769504777	0.21326393462077	0.20360516250056948	0.25859682592818384	
1908000	-4587.376555977422	-4521.229981550554	-66.14657442686782	-4521.229981550554	6.940648795969686	39.808792266775484	31.89236827439146	7.916423992384022	0	11	40	19	0	1.7080732242659065	0.20502926959995224	0.004984782605614081	1.1846979089907292	0.003994448994105216	0.43997733464735794	7.325403916544169	0.33237699853811853	0.21326393462077	0.19576224091292865	0.25859682592818384	
1909000	-4597.280816619668	-4527.969950166769	-69.31086645289903	-4527.969950166769	7.364899544425391	41.08510353491174	33.153015166494015	7.932088368417714	0	11	40	19	0	1.7015875117399932	0.2042507544384639	0.013144213161153367	1.189213462857193	0.004060223381435427	0.43997733464735794	7.325403916544169	0.33237699853811853	0.21326393462077	0.19576224091292865	0.25859682592818384	
1910000	-4589.189989814348	-4517.9148775287695	-71.27511228557914	-4517.9148775287695	7.1520603240579925	41.96231221074835	34.90290195254317	7.059410258205182	0	11	40	19	0	1.7083684656459437	0.13948277209323723	0.03530374061114287	1.7951485582572664	0.00406225702442068	0.43997733464735794	7.325403916544169	0.33237699853811853	0.21326393462077	0.19576224091292865	0.25859682592818384	
1911000	-4604.166828551541	-4534.531264471142	-69.63556408039827	-4534.531264471142	7.096656636834113	39.87363860823942	31.490923818191835	8.382714790047578	0	10	39	20	0	2.0389351338822266	0.2323503429344662	0.046304660241954294	0.924023137735746	0.0039021051978771065	0.43997733464735794	7.325403916544169	0.33237699853811853	0.21326393462077	0.19576224091292865	0.25859682592818384	
1912000	-4602.854480599442	-4531.291374620833	-71.5631059786081	-4531.291374620833	6.993037407340612	39.52602703727987	31.584186484365787	7.941840552914082	1	11	39	20	0	1.9438563755181195	0.2367480117474397	0.06880333492307862	1.5265661257663028	0.004577866700030107	0.43997733464735794	7.325403916544169	0.3278019758686328	0.21783895729025574	0.19576224091292865	0.25859682592818384	
1913000	-4596.865064175679	-4532.1916869961005	-64.67337717957881	-4532.1916869961005	7.362304422348144	41.00839383739975	35.05369420385983	5.954699633539913	0	10	39	20	0	1.940532965764626	0.2124956631711696	0.05037370755778139	1.529180564604102	0.0041002497275281205	0.43997733464735794	6.093023435209266	0.3278019758686328	0.21783895729025574	0.19576224091292865	0.25859682592818384	
1914000	-4593.405147000183	-4528.052769832932	-65.35237716725123	-4528.052769832932	7.372869874050557	40.635021091631856	33.393136046693414	7.241885044938445	1	10	38	21	0	1.769949516298047	0.2444231561716078	0.022484500688555002	1.5196042922103543	0.004110435697432354	0.43997733464735794	6.093023435209266	0.3278019758686328	0.21783895729025574	0.19576224091292865	0.25859682592818384	
1915000	-4605.327896431179	-4522.835985046984	-82.49191138419496	-4522.835985046984	7.536814182256306	43.375057614813436	34.792380078583	8.582677536230436	2	13	40	19	0	2.0540243240090543	0.24479620418796058	0.08591315872079207	1.0422242295926525	0.0036968724917745477	0.43997733464735794	6.093023435209266	0.34876049662414915	0.21783895729025574	0.19576224091292865	0.23763830517266749	
1916000	-4603.013352006516	-4523.532211489523	-79.48114051699176	-4523.532211489523	8.090310324843067	45.513985471650436	37.559674276416104	7.954311195234345	0	10	39	20	0	2.047778668621331	0.2440518543213549	0.07554033743248467	1.0454029780943908	0.003844814572600949	0.43997733464735794	6.093023435209266	0.34876049662414915	0.21783895729025574	0.19576224091292865	0.23763830517266749	
1917000	-4602.863375366116	-4517.748975651449	-85.11439971466733	-4517.748975651449	7.53119378466614	44.53402077149025	36.36675819096026	8.167262580529993	1	11	39	20	0	2.2887576323135694	0.31423701557239536	0.06637676796340719	0.8609757782653978	0.0038635163808253387	0.43997733464735794	7.194923272372506	0.33385202294053096	0.21783895729025574	0.21067071459654685	0.23763830517266749	
1918000	-4605.446292515857	-4522.482162198606	-82.96413031725099	-4522.482162198606	7.367687884680274	43.811976465706785	35.42461646346018	8.387360002246584	0	10	39	20	0	2.5426276640334837	0.2738043125613747	0.03582629838559212	0.6719330990091882	0.004090757036598803	0.4359845688700197	7.194923272372506	0.3228339555333475	0.21783895729025574	0.21067071459654685	0.24865637257985096	
1919000	-4595.607631241129	-4518.563869163624	-77.04376207750454	-4518.563869163624	7.350086185258663	43.05792929102618	34.69134435602307	8.3665849350031	1	11	39	20	0	2.3668560283634354	0.2674335224711255	0.02442096150011678	1.5224974848447468	0.0039784176055884775	0.4359845688700197	7.194923272372506	0.3228339555333475	0.21783895729025574	0.21067071459654685	0.24865637257985096	
1920000	-4591.435972034035	-4520.367450811115	-71.06852122292001	-4520.367450811115	7.033607447001602	41.48240091071519	34.50482946555929	6.977571445155909	1	11	39	20	0	1.6776615622797988	0.269222687561394	0.03399386582522058	1.3031386867897725	0.003664655224715447	0.4359845688700197	7.194923272372506	0.3228339555333475	0.21783895729025574	0.21067071459654685	0.24865637257985096	
1921000	-4600.079782196551	-4532.815888955367	-67.2638932411837	-4532.815888955367	7.188489307106089	40.07393656802356	33.39761641896472	6.676320149058843	0	11	40	19	0	1.6557400860743112	0.15058763373314432	0.03403029617499671	0.6262640161154883	0.004535604991568421	0.4359845688700197	7.194923272372506	0.3228339555333475	0.21783895729025574	0.21067071459654685	0.24865637257985096	
1922000	-4589.197573954487	-4523.516413432719	-65.68116052176786	-4523.516413432719	6.986861106620682	38.42499908602515	30.865901081544074	7.559098004481077	0	10	39	20	0	1.1578042913081599	0.22190332810921043	0.013551213516274961	1.377693415155886	0.004654895091333432	0.4359845688700197	7.705950496565254	0.3251822175273387	0.21783895729025574	0.21067071459654685	0.24630811058585972	
1923000	-4592.1493083183095	-4532.72421653031	-59.42509178800031	-4532.72421653031	7.079452501403798	36.37328759916913	27.548281966301207	8.825005632867914	1	9	37	22	0	1.756706300684326	0.23455956653915905	0.01920576283256359	0.6746861874060816	0.004496215196942538	0.4359845688700197	7.705950496565254	0.3251822175273387	0.21783895729025574	0.21067071459654685	0.24630811058585972	
1924000	-4589.792399082808	-4526.29420527846	-63.49819380434747	-4526.29420527846	7.068388130744582	37.599423531303266	28.493394903840354	9.10602862746293	0	8	37	22	0	1.2357819749093766	0.39930411135463934	0.011697158669246652	0.9296332909207856	0.0043402942764680505	0.4359845688700197	7.705950496565254	0.3251822175273387	0.21783895729025574	0.21067071459654685	0.24630811058585972	
1925000	-4588.833679865301	-4521.229360879581	-67.60431898572028	-4521.229360879581	7.051393050501803	37.9783889506528	28.281587958566007	9.696800992086793	1	9	37	22	0	1.355202217103255	0.44137162444347605	0.05216459143554608	0.9013921137022463	0.004313204760318468	0.49545312527938695	8.111995051484746	0.3251822175273387	0.21783895729025574	0.21067071459654685	0.24630811058585972	
1926000	-4598.67080925939	-4524.710590047492	-73.96021921189785	-4524.710590047492	7.4826521485349	38.74512333127004	28.789316128862662	9.955807202407382	2	10	37	22	0	1.349526544442252	0.3395829454721741	0.1558729650392238	1.0154634208385842	0.004295689598916038	0.49545312527938695	8.111995051484746	0.3251822175273387	0.21783895729025574	0.21067071459654685	0.24630811058585972	
1927000	-4603.111758271358	-4530.36654090336	-72.74521736799721	-4530.36654090336	7.5102044497266665	39.18028851744448	27.752123221279845	11.42816529616463	4	9	34	25	0	1.4955723094006381	0.29256428648841304	0.3362519773996879	0.7201270648508321	0.004675664860307866	0.49545312527938695	8.111995051484746	0.3251822175273387	0.21783895729025574	0.21067071459654685	0.24630811058585972	
1928000	-4608.6856592960185	-4522.95524645708	-85.73041283893834	-4522.95524645708	7.187907616723046	38.881596878859796	26.437853802447194	12.443743076412591	8	13	34	25	0	1.3691685083732257	0.31301401858279193	0.33349271416974896	0.7432234638530899	0.00470994990118397	0.49545312527938695	8.111995051484746	0.3251822175273387	0.21783895729025574	0.21067071459654685	0.24630811058585972	
1929000	-4601.492005273114	-4524.657069542295	-76.83493573081864	-4524.657069542295	7.12812949423791	39.604565472527696	28.711966980619877	10.892598491907801	2	8	35	24	0	2.0010022414940716	0.4126621491542169	0.14139096692121036	0.7442824818698399	0.004078768443221176	0.2348982345875674	8.111995051484746	0.3251822175273387	0.21783895729025574	0.21067071459654685	0.24630811058585972	
1930000	-4603.860223545846	-4527.5478085174755	-76.31241502837048	-4527.5478085174755	7.1009572475592435	38.678219114159084	26.84863035234576	11.829588761813328	3	9	35	24	0	1.6877756540943427	0.4949618262912021	0.14610479004789298	0.9171073185969759	0.003935683411021734	0.2348982345875674	8.111995051484746	0.3251822175273387	0.222329671697244	0.21067071459654685	0.24181739617887146	
1931000	-4609.282672664387	-4525.5557160966055	-83.72695656778191	-4525.5557160966055	6.8739156650314746	39.76114726721765	26.14920288619204	13.61194438102562	4	10	35	24	0	1.3846529920542305	0.5314797937012165	0.3333914736773138	0.6293286146668098	0.003929845381199012	0.2348982345875674	8.111995051484746	0.3251822175273387	0.222329671697244	0.21067071459654685	0.24181739617887146	
1932000	-4608.388516882195	-4529.20126320228	-79.18725367991559	-4529.20126320228	6.86392879111247	37.5802871232181	28.245162172413487	9.335124950804609	4	11	36	23	0	1.5724053586599562	0.5074800243612375	0.18516603567135803	0.8121460800112748	0.0038396092066086255	0.2348982345875674	8.111995051484746	0.3251822175273387	0.19970508392074116	0.21067071459654685	0.2644419839553743	
1933000	-4607.405107012987	-4531.444736201921	-75.96037081106586	-4531.444736201921	6.860080505954235	36.83251759367697	27.547648376880478	9.28486921679649	4	12	37	22	0	1.6869445915268892	0.3821817455073319	0.18474758403969702	1.0425482548676617	0.004882377322137106	0.2516867373819654	6.321227252491466	0.3251822175273387	0.19970508392074116	0.21067071459654685	0.2644419839553743	
1934000	-4592.595474552614	-4533.451379805306	-59.1440947473083	-4533.451379805306	6.377405749657105	34.31236460448264	24.729499464401677	9.582865140080958	3	9	35	24	0	1.4307915741501778	0.24478034008371485	0.0919882529996647	1.0002563411186114	0.005133764527129374	0.2516867373819654	6.321227252491466	0.3251822175273387	0.19970508392074116	0.21067071459654685	0.2644419839553743	
1935000	-4592.274600572943	-4522.629427442027	-69.645173130916	-4522.629427442027	6.42756905667713	36.0427481865414	27.163033001889882	8.879715184651523	3	10	36	23	0	1.8047331688506696	0.3065769217717316	0.11607494899106055	1.0040959845039803	0.0048733460150001	0.2516867373819654	6.321227252491466	0.3251822175273387	0.19970508392074116	0.2288217830484663	0.2462909155034549	
1936000	-4590.649054144545	-4526.885460504108	-63.76359364043696	-4526.885460504108	6.328392460441787	34.05919175182394	25.680541484875864	8.378650266948076	1	9	37	22	0	1.7967545623052485	0.3108139135105606	0.11659038741944071	0.8917519136269229	0.0056039551861193125	0.29913906654085864	7.7839715479737315	0.3339599548178429	0.19970508392074116	0.22004404575796213	0.2462909155034549	
1937000	-4598.134967653962	-4542.643376615694	-55.49159103826769	-4542.643376615694	6.31209593118936	33.151289738200475	25.98041557384548	7.170874164355006	1	9	37	22	0	1.353207776561569	0.15408953838970119	0.10886511616403508	0.8927755294592273	0.005116805165109724	0.29913906654085864	7.34050488839665	0.3339599548178429	0.19970508392074116	0.22004404575796213	0.2462909155034549	
1938000	-4611.685443404878	-4543.629552245831	-68.05589115904674	-4543.629552245831	6.31917370805859	33.81447506836162	24.589059378267645	9.225415690093982	6	12	35	24	0	1.3426446971418988	0.3278946843043722	0.29970894610264015	0.8997993227544233	0.005668814075415244	0.3189562502425081	7.34050488839665	0.33098805641807083	0.19970508392074116	0.2230159441577342	0.2462909155034549	
1939000	-4608.4442565709805	-4538.322219783524	-70.122036787457	-4538.322219783524	6.816612631888158	34.725887213004384	22.01644603069258	12.709441182311814	10	8	28	31	1	1.476570616327353	0.43599590399176547	0.4423179904443487	0.8932573349226619	0.005128434194963296	0.3189562502425081	7.34050488839665	0.33806057476635276	0.19970508392074116	0.21594342580945228	0.2462909155034549	
1940000	-4602.159159339548	-4531.854908821176	-70.30425051837203	-4531.854908821176	7.032031275579904	35.922562075710054	23.117698588602387	12.804863487107665	7	9	31	28	0	1.1478084047127828	0.3985324188002905	0.408616275528913	0.7050481411927543	0.004585055100468528	0.3189562502425081	7.34050488839665	0.33806057476635276	0.19970508392074116	0.21594342580945228	0.2462909155034549	
1941000	-4603.654779013585	-4533.374536088599	-70.28024292498594	-4533.374536088599	6.806935113405949	35.67843711341702	23.202163067668685	12.476274045748337	5	9	33	26	0	1.1500289403225887	0.43415132314337035	0.24455755084947525	0.853433490768903	0.004796744897613935	0.3189562502425081	7.34050488839665	0.33806057476635276	0.19970508392074116	0.21594342580945228	0.2462909155034549	
1942000	-4598.721356637278	-4525.7041884762775	-73.01716816100063	-4525.7041884762775	6.676051410637703	35.54327656516681	24.827361902982958	10.715914662183856	5	12	36	23	0	1.3031703808973036	0.3474084831096387	0.3709160225610109	1.0507774410835906	0.0043195241545145304	0.3189562502425081	7.34050488839665	0.33806057476635276	0.20348239296118037	0.21768809126973618	0.24076894100273177	
1943000	-4607.558411465372	-4525.741909851733	-81.81650161363864	-4525.741909851733	6.8529920827260895	37.49750821967748	23.32304776932346	14.174460450354017	6	11	34	25	0	0.8515438999132765	0.5421821896613009	0.41813285893729124	0.9082910576828276	0.0044496649312909045	0.392354939465384	7.34050488839665	0.33806057476635276	0.20348239296118037	0.21768809126973618	0.24076894100273177	
1944000	-4595.8243668157875	-4520.460230024412	-75.36413679137546	-4520.460230024412	6.70945902231697	36.760444638805566	23.170965416485966	13.58947922231959	5	7	31	28	0	1.363543948356694	0.5061150831618602	0.4127557045174921	0.8966105088551262	0.004634228795453828	0.392354939465384	7.34050488839665	0.33806057476635276	0.2048064541205657	0.21636403011035085	0.24076894100273177	
1945000	-4592.058324176346	-4519.320894794448	-72.73742938189808	-4519.320894794448	6.862050984408477	36.22642118544399	22.62426204466419	13.602159140779799	11	11	29	30	0	1.1724836269620835	0.5037452843747073	0.41469745563317745	0.6564516181256256	0.004612309445735861	0.392354939465384	7.34050488839665	0.33806057476635276	0.2048064541205657	0.21636403011035085	0.24076894100273177	
1946000	-4599.163963910347	-4520.434902671684	-78.72906123866322	-4520.434902671684	7.130469272898184	37.46866948526097	21.295003163600754	16.17366632166022	9	7	28	31	1	1.2411181241912346	0.48232020926162994	0.8027846898630157	0.425427228249614	0.004579774152435655	0.392354939465384	7.983976117420792	0.33806057476635276	0.2048064541205657	0.21636403011035085	0.24076894100273177	
1947000	-4601.942948414125	-4522.2151157229255	-79.72783269119958	-4522.2151157229255	6.935876395218154	37.767163700220514	23.013279820079294	14.753883880141206	9	8	29	30	1	1.2458281611668651	0.33921981002620955	0.5036214549287127	0.5068506394588609	0.004406893007696958	0.392354939465384	7.210639851610585	0.3380413618974949	0.2048064541205657	0.21636403011035085	0.24078815387158964	
1948000	-4608.089832048717	-4518.182500620603	-89.90733142811433	-4518.182500620603	7.143743703400583	39.313745792821614	23.59338528124925	15.720360511572359	13	12	29	30	1	1.7483946380648778	0.5881018234472776	0.5469012018475151	0.5101269102703875	0.00429729413063521	0.392354939465384	7.662463631528339	0.3380413618974949	0.2048064541205657	0.21636403011035085	0.24078815387158964	
1949000	-4612.847720884387	-4520.2938484414235	-92.553872442963	-4520.2938484414235	6.706716504651922	37.80265994076013	23.513684758594422	14.288975182165704	8	14	35	24	0	1.7347377151751506	0.4937589855379546	0.5512067446835258	0.8317347042333705	0.004414767711594019	0.392354939465384	7.662463631528339	0.3380413618974949	0.2048064541205657	0.21636403011035085	0.24078815387158964	
1950000	-4610.973025972121	-4522.872375742374	-88.1006502297467	-4522.872375742374	6.668557951818119	37.25417140913532	23.7124013496342	13.541770059501122	15	17	31	28	0	1.7391985861410773	0.46811561318355605	0.5497929543417124	1.1141199637348593	0.005360699168431821	0.392354939465384	6.266789519714524	0.3380413618974949	0.2048064541205657	0.21636403011035085	0.24078815387158964	
1951000	-4607.74310813266	-4517.014761015809	-90.72834711685114	-4517.014761015809	6.5999869751626035	37.52003114813215	23.189010724509398	14.331020423622764	14	14	30	29	1	1.517125917332621	0.31483906544089557	0.7884139922239356	1.1048094165832831	0.004494834982288836	0.392354939465384	6.266789519714524	0.34849233150795356	0.2048064541205657	0.20320119302032802	0.2435000213511538	
1952000	-4608.40045712199	-4520.964370367942	-87.43608675404776	-4520.964370367942	6.621471818946153	37.29427431579851	22.245458355183167	15.048815960615336	20	19	29	30	1	1.2151468420024587	0.4769422782872865	0.7883402042053783	1.112002850821215	0.004209748183292913	0.392354939465384	6.266789519714524	0.3518493422162126	0.2099951301319215	0.1980125170089722	0.24014301064289476	
1953000	-4601.114294627868	-4522.212427922438	-78.90186670543	-4522.212427922438	6.79495419367214	36.92861934776743	23.536316408330414	13.392302939437007	17	17	29	30	0	1.3204495536988	0.4092186420857607	0.8156433459019895	1.9867362588669506	0.0044235567301724515	0.392354939465384	6.266789519714524	0.3518493422162126	0.2099951301319215	0.1980125170089722	0.24014301064289476	
1954000	-4610.563798343792	-4526.452047993006	-84.11175035078617	-4526.452047993006	6.51408653573369	35.734824990764984	22.95672728210085	12.778097708664127	15	19	33	26	0	1.2896950413408674	0.37564669247798615	0.8729770439043998	2.213991788016958	0.004993207432138607	0.392354939465384	6.266789519714524	0.3518493422162126	0.2099951301319215	0.1980125170089722	0.24014301064289476	
1955000	-4609.650002142401	-4529.670930799617	-79.97907134278411	-4529.670930799617	6.5344957642278905	35.441618605720386	23.695761530953504	11.74585707476688	10	15	34	25	0	1.2496578383989534	0.40225771528843507	0.6004895128090608	1.4960872547913122	0.004414530037260496	0.392354939465384	6.266789519714524	0.3518493422162126	0.2099951301319215	0.1980125170089722	0.24014301064289476	
1956000	-4611.406775649857	-4519.921070427161	-91.48570522269576	-4519.921070427161	6.744484071136559	38.993928293820346	26.220136259747058	12.773792034073264	13	19	35	24	0	1.26276391358425	0.37148450845463116	0.5942571041868354	1.4805595446357347	0.004196609162402928	0.392354939465384	6.1912547880363915	0.3518493422162126	0.2099951301319215	0.1980125170089722	0.24014301064289476	
1957000	-4614.474208409619	-4523.339582392436	-91.13462601718284	-4523.339582392436	6.664937034390533	38.215957856813716	25.380943615665856	12.835014241147856	9	13	34	25	1	1.5164459506519936	0.42536012357512326	0.27643397780667134	1.4756014302095517	0.003915577014954237	0.392354939465384	6.1912547880363915	0.3518493422162126	0.2099951301319215	0.1980125170089722	0.24014301064289476	
1958000	-4630.581131340193	-4534.349263270368	-96.23186806982409	-4534.349263270368	6.741839680271884	38.54822982805954	26.641109538580057	11.907120289479478	10	18	38	21	1	1.7523196282397424	0.7489212091134728	0.2561812742466204	1.4722104082714955	0.0044065224525749866	0.392354939465384	6.5363414111158535	0.3518493422162126	0.2099951301319215	0.1980125170089722	0.24014301064289476	
1959000	-4616.614060229826	-4518.399989549948	-98.21407067987695	-4518.399989549948	6.881834519619381	40.07916870817586	28.783971390740057	11.295197317435797	14	23	38	21	0	1.733354839151948	0.5807909934982467	0.45515261770254706	2.2169100351308737	0.0039366204829549886	0.392354939465384	6.5363414111158535	0.3518493422162126	0.2099951301319215	0.1980125170089722	0.24014301064289476	
1960000	-4605.560364226726	-4525.41793571682	-80.14242850990684	-4525.41793571682	6.756212697344865	37.39704954298291	27.38284442358865	10.014205119394255	15	21	36	23	1	1.2145436957703457	0.30934979419376124	0.501646984221254	1.5285542032813004	0.004298832453305296	0.34642301223679944	6.5363414111158535	0.3518493422162126	0.2099951301319215	0.1980125170089722	0.24014301064289476	
1961000	-4605.285217780556	-4521.9037272030655	-83.38149057749101	-4521.9037272030655	6.6270017298522035	36.334249825647305	23.859172317330664	12.475077508316625	13	18	34	25	0	1.1600582558830972	0.3348233591040834	0.6541294871391369	1.3146151137161515	0.004151768967636888	0.4536524921204768	6.5363414111158535	0.3518493422162126	0.2099951301319215	0.1980125170089722	0.24014301064289476	
1962000	-4606.601420675477	-4527.808091697042	-78.79332897843543	-4527.808091697042	6.887398201846752	36.523653392501714	25.928015803904902	10.595637588596814	16	19	33	26	1	1.6054328042744987	0.3361892578841243	0.8383779567343954	2.153689209570825	0.004821123850554209	0.28314989184308165	6.5363414111158535	0.3518493422162126	0.19476752215383014	0.21324012498706357	0.24014301064289476	
1963000	-4604.826455404105	-4521.7206298312585	-83.10582557284685	-4521.7206298312585	6.654760689088035	37.46760109380642	25.89346029661317	11.574140797193248	19	23	33	26	0	1.60808489783769	0.4017333542316062	0.8369952829803129	1.3085710674924624	0.00474772038079981	0.45325572150022275	6.5363414111158535	0.3518493422162126	0.19476752215383014	0.21324012498706357	0.24014301064289476	
1964000	-4599.851995605866	-4524.086540031843	-75.76545557402366	-4524.086540031843	6.734333620077317	35.493376924661554	25.12347575655024	10.369901168111308	12	17	34	25	0	1.6280469995230873	0.40672030615085514	0.600863246060053	1.2925261813684716	0.004113958336333644	0.45325572150022275	6.5363414111158535	0.3518493422162126	0.19476752215383014	0.21324012498706357	0.24014301064289476	
1965000	-4596.612585413213	-4519.841959625913	-76.77062578730025	-4519.841959625913	6.731619895960278	35.56703053675498	23.85547194366582	11.711558593089151	12	17	34	25	0	1.1983619529033491	0.3146328143878446	0.4595516080025997	1.286246885103605	0.004515622577872913	0.45325572150022275	6.668388085513827	0.33939830493378587	0.19476752215383014	0.22569116226949032	0.24014301064289476	
1966000	-4596.378764816596	-4517.085168690226	-79.29359612637057	-4517.085168690226	6.662167994539395	35.78553841072572	23.463225141172966	12.322313269552762	12	16	33	26	0	1.1067854055546786	0.320657324756604	0.24646441485736023	1.2827973838538833	0.005110731011460912	0.45325572150022275	6.668388085513827	0.35189656231019534	0.2085459904690931	0.19941443657781788	0.24014301064289476	
1967000	-4594.585904293615	-4517.768286147846	-76.8176181457691	-4517.768286147846	6.686193498759656	36.276593812845036	23.843691956212172	12.432901856632867	12	15	32	27	0	1.4587502972979949	0.3200263268841374	0.4773661969000283	1.2853266833271437	0.004643538954127062	0.45325572150022275	6.668388085513827	0.35189656231019534	0.2085459904690931	0.19941443657781788	0.24014301064289476	
1968000	-4601.752058408922	-4529.523160837956	-72.22889757096537	-4529.523160837956	6.874943901127915	36.099962979633794	24.09192528032913	12.008037699304673	7	8	30	29	0	1.4544234041513893	0.40770382922411025	0.27240717666519887	1.2891505156454106	0.0039800621251036596	0.5007660618248512	6.668388085513827	0.35189656231019534	0.2085459904690931	0.19941443657781788	0.24014301064289476	
1969000	-4604.063468347955	-4534.793474707333	-69.26999364062156	-4534.793474707333	6.6082205896557396	34.89137868185316	23.359642798487464	11.53173588336569	8	10	31	28	0	1.3589370680788373	0.3159940985948442	0.27809117380247605	1.30162909688649	0.004500729395752807	0.5007660618248512	6.668388085513827	0.35189656231019534	0.2085459904690931	0.19941443657781788	0.24014301064289476	
1970000	-4604.943914335817	-4539.221782896099	-65.72213143971743	-4539.221782896099	6.507946948322753	35.055407477302595	24.967971537453828	10.087435939848772	4	9	34	25	0	1.3540877086555334	0.3148664753989475	0.10812736234156252	1.3265029361556222	0.0045222957820054135	0.5007660618248512	6.668388085513827	0.35189656231019534	0.2116673471947993	0.19941443657781788	0.23702165391718857	
1971000	-4592.467330983934	-4537.868398917938	-54.59893206599549	-4537.868398917938	6.411722208755552	34.27858042093569	24.753846738635882	9.524733682299818	0	7	36	23	0	1.1323457337931424	0.3159139288783097	0.04149183821728767	0.528099590061183	0.0048523012105950334	0.5007660618248512	6.668388085513827	0.35189656231019534	0.2116673471947993	0.19941443657781788	0.23702165391718857	
1972000	-4589.993538818474	-4529.918904517157	-60.07463430131704	-4529.918904517157	6.488015878841242	34.42793959224993	26.659841129883304	7.768098462366613	0	9	38	21	0	1.1250001471326114	0.31386457851420224	0.019012776378996465	0.48650626838384486	0.004764457677308804	0.5007660618248512	6.668388085513827	0.35189656231019534	0.2116673471947993	0.19941443657781788	0.23702165391718857	
1973000	-4588.769682548268	-4537.205524820427	-51.564157727840694	-4537.205524820427	6.597475520117977	34.16974873249135	25.688996120289115	8.480752612202231	1	9	37	22	0	1.117516449803308	0.217327475879899	0.06796761868927934	1.5840976613828315	0.0046292320191361576	0.5007660618248512	7.745842205150193	0.35189656231019534	0.2104577258161413	0.19941443657781788	0.23823127529584656	
1974000	-4592.117926330847	-4538.34695726687	-53.77096906397677	-4538.34695726687	6.596399834484109	33.743150949752966	26.013550743583476	7.729600206169497	2	9	36	23	0	1.2212071738684716	0.1810277681465208	0.1182096487245934	1.5768142435211598	0.004710143072461996	0.48824578299235255	7.745842205150193	0.35189656231019534	0.2104577258161413	0.19941443657781788	0.23823127529584656	
1975000	-4588.364038239714	-4537.953490312642	-50.41054792707159	-4537.953490312642	6.191019386416278	32.483989708233075	25.246581593799128	7.237408114433942	2	10	37	22	0	1.2227785212321884	0.11947976187761335	0.19764854500230872	1.5747879379706409	0.005176524744132654	0.48824578299235255	7.745842205150193	0.35189656231019534	0.2104577258161413	0.19941443657781788	0.23823127529584656	
1976000	-4601.784027495808	-4540.585778183129	-61.19824931267843	-4540.585778183129	6.5367744941971075	34.188851939560365	25.865443174228126	8.323408765332243	0	8	37	22	0	1.858483598226574	0.29397236372761293	0.09785309913619841	0.9761157356635302	0.005051735377891679	0.48824578299235255	8.4485401887314	0.35189656231019534	0.2104577258161413	0.19941443657781788	0.23823127529584656	
1977000	-4606.988382662393	-4535.2329119280475	-71.7554707343451	-4535.2329119280475	6.437836396982815	35.607178665025415	26.64368117756886	8.963497487456554	0	8	37	22	0	1.6540031280747154	0.6163417259386508	0.16135094202234915	1.4907407114633375	0.004808777540443767	0.48824578299235255	8.4485401887314	0.37582303083528723	0.18653125729104944	0.19941443657781788	0.23823127529584656	
