Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrix_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_NewZealand_HongKong	clockRate.c:h3n2_2deme	kappa.s:h3n2_2deme	gammaShape.s:h3n2_2deme	freqParameter.s:h3n2_2deme1	freqParameter.s:h3n2_2deme2	freqParameter.s:h3n2_2deme3	freqParameter.s:h3n2_2deme4
10000	-4796.216158663822	-4649.974319540537	-146.2418391232848	-4649.974319540537	7.2930050810549485	51.8915833280464	25.939077085839756	25.95250624220664	25	26	31	28	1	1.4866114728042676	1.2901030896672743	1.520660109318491	0.8150937586179474	0.003451403631977431	8.597220536213024	0.3735560675960404	0.2649113183692054	0.23739561110714252	0.2456395078883756	0.25205356263527656
11000	-4766.315018323129	-4631.328791300161	-134.98622702296822	-4631.328791300161	7.312866282868762	49.07088573549162	27.016982214111046	22.053903521380576	22	22	30	29	1	1.8467412158491112	0.9464312179958225	1.2504643333211902	1.058702684490121	0.003929928651728097	8.597220536213024	0.3735560675960404	0.2649113183692054	0.23739561110714252	0.2456395078883756	0.25205356263527656
12000	-4742.5753450185775	-4610.475427851192	-132.09991716738574	-4610.475427851192	7.3066124109547195	48.407404466488586	23.037660519411364	25.36974394707722	27	28	30	29	0	1.8054087444199043	1.1564026826281184	1.0678368143481147	0.9346454938868451	0.003610970809587383	7.756749501207206	0.18728411313757348	0.2649113183692054	0.23739561110714252	0.24929974618544032	0.24839332433821185
13000	-4744.516212984006	-4606.202697186875	-138.31351579713103	-4606.202697186875	7.3131675408071155	50.637213595453076	30.556089567091615	20.081124028361447	24	25	31	28	1	2.024262162995797	1.6254596258043845	1.016053762872119	1.2365184958542266	0.00325158051190522	7.071965971293981	0.18728411313757348	0.2649113183692054	0.23739561110714252	0.24929974618544032	0.24839332433821185
14000	-4708.99318838776	-4565.66773851639	-143.32544987136907	-4565.66773851639	7.341275822276959	51.140905311685636	29.763787736295	21.377117575390635	23	25	32	27	1	2.2353424559808315	1.024324926182348	1.0936397552308428	1.3717972112576482	0.0034991375460069695	6.424704668624866	0.18728411313757348	0.2649113183692054	0.23739561110714252	0.24929974618544032	0.24839332433821185
15000	-4694.176710769767	-4558.565495100863	-135.61121566890458	-4558.565495100863	7.408840604493618	50.914359195957836	31.07157836290958	19.842780833048256	17	22	34	25	0	2.4897397670656476	0.8061657080808636	0.7302180298617634	1.2955447015507442	0.003258992168343364	6.288725384444051	0.18728411313757348	0.26777218072885944	0.23739561110714252	0.24400783455037453	0.2508243736136236
16000	-4686.461725538402	-4559.378560134796	-127.08316540360516	-4559.378560134796	7.622582111996843	50.86798040800913	29.931191268686852	20.936789139322297	16	16	29	30	0	2.075254154727821	0.9607769289833389	0.640674053387729	0.9148419333947316	0.003250024966800387	6.288725384444051	0.23540758286343016	0.268141280099561	0.23702651173644093	0.24400783455037453	0.2508243736136236
17000	-4691.083625146756	-4557.180833309897	-133.90279183685917	-4557.180833309897	7.952340684838927	53.09336431908948	28.769611736879984	24.32375258220951	16	15	29	30	1	1.7513710660842274	1.218037194245061	0.5249492277004584	1.0190750487452906	0.003079977064418944	6.288725384444051	0.25951035100411046	0.268141280099561	0.23702651173644093	0.24400783455037453	0.2508243736136236
18000	-4683.565405353609	-4550.764140855066	-132.80126449854282	-4550.764140855066	7.843072240273137	52.63852141108214	30.968346014500145	21.670175396581982	13	17	33	26	0	2.2267998987976965	1.266334818473308	0.4363197144130661	0.9294726548283101	0.0032628002647074337	7.811028180333645	0.25951035100411046	0.268141280099561	0.23702651173644093	0.24400783455037453	0.2508243736136236
19000	-4687.463871381553	-4551.601754994927	-135.8621163866257	-4551.601754994927	7.924475208205374	53.271652121669646	33.190194388699055	20.081457732970584	20	26	35	24	0	1.8135290088227976	1.0713352214455922	0.5419403837737818	1.3001034759979173	0.0032269095382151626	7.811028180333645	0.25951035100411046	0.268141280099561	0.23702651173644093	0.24400783455037453	0.2508243736136236
20000	-4688.800878159084	-4553.9945588166165	-134.806319342468	-4553.9945588166165	7.939282877682317	51.8484512090362	35.38788429952106	16.46056690951513	19	28	38	21	0	2.1646044962091504	0.9151723066764003	0.45934674647333174	1.059367286004272	0.003461642466894772	7.811028180333645	0.25951035100411046	0.268141280099561	0.23702651173644093	0.24400783455037453	0.2508243736136236
21000	-4679.5069730599325	-4553.380479821925	-126.1264932380073	-4553.380479821925	8.252966035399298	51.61692971442997	34.809797173656456	16.80713254077352	10	19	38	21	0	1.5163018585300596	1.0233011569270125	0.4217542127271748	1.195847346888442	0.003234340240962384	5.3575689883578	0.25951035100411046	0.268141280099561	0.23702651173644093	0.24400783455037453	0.2508243736136236
22000	-4664.014847803398	-4555.95591828094	-108.05892952245773	-4555.95591828094	7.706840653301452	48.75090858697138	37.43899085101161	11.311917735959753	5	16	40	19	0	2.294252333891536	0.7375938636752265	0.18722317228582097	1.4299884411267643	0.003716900008986022	5.3575689883578	0.25951035100411046	0.2746283041023552	0.23702651173644093	0.2375208105475803	0.2508243736136236
23000	-4660.862295783406	-4551.317296377867	-109.54499940553899	-4551.317296377867	7.669128470868197	49.10667561160376	37.22679539869321	11.879880212910543	4	15	40	19	0	1.8534262444454108	0.9494257275752594	0.1171218035582594	1.2309347359744829	0.003567668028837393	6.156558416750241	0.27069994654032264	0.2746283041023552	0.23673132245131479	0.23781599983270646	0.2508243736136236
24000	-4660.959947364947	-4550.930282706584	-110.02966465836332	-4550.930282706584	7.79966023218576	49.88764081053833	37.02567415784147	12.86196665269687	5	14	38	21	0	1.6553577711881167	0.8170603631178314	0.1184165480763775	1.2094566326546456	0.003397773003871437	6.156558416750241	0.27069994654032264	0.2746283041023552	0.2300281563584741	0.24451916592554715	0.2508243736136236
25000	-4661.564821651623	-4553.77033940881	-107.79448224281278	-4553.77033940881	8.633630657987014	50.637623665529354	36.82027628312692	13.817347382402428	5	14	38	21	0	1.956562875434912	0.7958542071746556	0.09425119256753346	1.038568139155723	0.003338350363159265	6.156558416750241	0.27069994654032264	0.2746283041023552	0.23448178213726167	0.24451916592554715	0.246370747834836
26000	-4654.330440194799	-4546.071765889712	-108.2586743050869	-4546.071765889712	8.651566690843083	49.40109147634653	38.46069884316565	10.940392633180888	3	13	39	20	0	2.945332727758761	1.0850123589426004	0.11206426173622154	1.0455964827050928	0.003930842081117534	6.156558416750241	0.27069994654032264	0.2776002776865994	0.22737578728702632	0.24451916592554715	0.2505047691008272
27000	-4646.141627346444	-4547.817223760154	-98.32440358628963	-4547.817223760154	8.179305058060113	49.56327479931235	37.02131328680384	12.54196151250851	1	10	38	21	0	1.956810430959739	0.6799025102779734	0.061028648463078886	0.9529632440125799	0.0031766126517555203	6.567935650346366	0.27069994654032264	0.2776002776865994	0.22737578728702632	0.24451916592554715	0.2505047691008272
28000	-4643.314411815465	-4545.521241835979	-97.7931699794863	-4545.521241835979	7.737992104455238	48.10779347288973	38.05472261315577	10.053070859733936	2	12	39	20	0	2.4557022118044265	0.5638841537828744	0.07760858408106175	0.982780083316661	0.0033030553356123765	6.567935650346366	0.1588050128986902	0.2776002776865994	0.24645228673320105	0.23455726196668142	0.2413901736135182
29000	-4643.912883124149	-4552.683256089582	-91.22962703456645	-4552.683256089582	7.77245064721941	48.67574328021598	36.740927279240225	11.934816000975761	0	8	37	22	0	2.2365266458091284	0.41530419362118987	0.07161591309439917	0.7044641274385792	0.0033798516855271543	7.051955534919123	0.16225947032323632	0.2776002776865994	0.24645228673320105	0.23455726196668142	0.2413901736135182
30000	-4637.7291814798255	-4545.282264369534	-92.446917110292	-4545.282264369534	7.707100524644207	46.915929607610785	35.5770386858533	11.338890921757486	1	9	37	22	0	2.6516814363938233	0.6524484091242435	0.06274481688356592	0.8969978309916773	0.0034975097163389207	7.051955534919123	0.16225947032323632	0.28204389274147385	0.24645228673320105	0.23011364691180697	0.2413901736135182
31000	-4649.57135709358	-4547.241558018396	-102.32979907518416	-4547.241558018396	7.799702520524568	47.82490588716897	33.174285224919366	14.650620662249597	3	10	36	23	0	2.618878645266173	0.8077239966942009	0.10803792062777484	1.0717891791273815	0.0035352665459881896	5.730444197959474	0.16225947032323632	0.28204389274147385	0.24645228673320105	0.23011364691180697	0.2413901736135182
32000	-4645.563935356898	-4546.212735164294	-99.3512001926035	-4546.212735164294	7.737114869810557	46.689957187005774	34.271894924729445	12.418062262276326	4	11	36	23	0	2.4220070622052727	0.5455423905934186	0.11686923538728203	1.1646762958082548	0.00384860723652923	7.466143381253053	0.20712631791050468	0.28204389274147385	0.24645228673320105	0.23011364691180697	0.2413901736135182
33000	-4641.511633501553	-4544.473458059462	-97.0381754420909	-4544.473458059462	7.66387827093478	45.30074751604286	31.229516589167645	14.071230926875227	5	11	36	23	1	2.2768504707040926	0.5129584399546924	0.08578249695081908	0.9023451960358423	0.0035019064029575956	7.466143381253053	0.18956492184376572	0.28204389274147385	0.24645228673320105	0.23130147843578394	0.24020234208954122
34000	-4641.322264665608	-4541.790379271346	-99.53188539426148	-4541.790379271346	7.375660489531854	45.168743462589184	33.805127957299874	11.363615505289301	4	13	38	21	0	1.9720523059090507	0.4088171304621304	0.08501076890081745	1.6678943237071715	0.0036307778945431296	7.466143381253053	0.18956492184376572	0.28204389274147385	0.24702249295053635	0.23130147843578394	0.23963213587220591
35000	-4630.928689418099	-4535.850310028886	-95.07837938921276	-4535.850310028886	7.499778652820616	44.01509401366799	33.76916432908416	10.245929684583825	5	14	38	21	0	1.8543520495207775	0.47307125768606245	0.11938601402556868	1.600951946169606	0.0036399856855379637	7.466143381253053	0.1603861693432154	0.28204389274147385	0.24702249295053635	0.23130147843578394	0.23963213587220591
36000	-4631.156616577327	-4545.54388109502	-85.61273548230787	-4545.54388109502	6.956771422859976	40.172854081433634	30.792734945899404	9.380119135534223	2	13	40	19	0	1.5797202628039684	0.5956629422389365	0.190052169369726	1.4251336915306316	0.004538358888944469	7.466143381253053	0.21091579705707236	0.28204389274147385	0.24702249295053635	0.23130147843578394	0.23963213587220591
37000	-4626.67044381268	-4535.509341435977	-91.16110237670283	-4535.509341435977	7.101662362942696	41.263733566852245	30.414063672656606	10.849669894195653	5	14	38	21	0	1.6145880616608934	0.6010286857804723	0.16844084144253033	1.5936024547868954	0.0039771286369036304	7.466143381253053	0.21091579705707236	0.28204389274147385	0.24702249295053635	0.23130147843578394	0.23963213587220591
38000	-4635.91164842465	-4538.435992910406	-97.47565551424371	-4538.435992910406	7.411815870112683	43.10048258790059	30.09162533795492	13.008857249945667	6	15	38	21	0	1.509386879468604	0.6451988943419847	0.14780543327328624	1.4362720731759677	0.003995447368231496	7.466143381253053	0.21091579705707236	0.2806998407906386	0.24702249295053635	0.2326455303866192	0.23963213587220591
39000	-4624.759467536306	-4530.269600071108	-94.4898674651984	-4530.269600071108	7.320203574833657	42.292927860488064	31.134952789700044	11.157975070788032	3	13	39	20	0	1.7661035311018782	0.853871131098881	0.152504315065628	1.1640264802579272	0.003745753418651379	7.466143381253053	0.33240721870422885	0.28927267658549016	0.24702249295053635	0.2326455303866192	0.2310593000773543
40000	-4636.846194079109	-4533.28755068295	-103.55864339616026	-4533.28755068295	7.691491260070723	44.56863065288165	33.75735647241177	10.811274180469873	5	16	40	19	0	1.8669429231227102	0.8610709621730279	0.1580102286929068	1.530099343448658	0.0036511810445966596	7.042475342560806	0.33240721870422885	0.28927267658549016	0.24702249295053635	0.2326455303866192	0.2310593000773543
41000	-4636.742751940386	-4542.3150416187145	-94.42771032167222	-4542.3150416187145	8.042502099241386	44.04506858742735	30.953719811021283	13.091348776406075	2	15	42	17	0	1.7943195677611221	0.6488795285247232	0.1318028467810826	1.4384003429236543	0.00371480134106264	8.736893875546388	0.33240721870422885	0.29090584955583454	0.24702249295053635	0.2310123574162748	0.2310593000773543
42000	-4638.7497573584005	-4540.09051078665	-98.65924657175056	-4540.09051078665	8.031754453007	44.316164407934075	31.591876702031513	12.724287705902544	5	16	40	19	0	1.29745360608057	0.742552852705655	0.1359685881001332	1.6160598309049308	0.00374600437250052	8.736893875546388	0.33240721870422885	0.29090584955583454	0.24702249295053635	0.2310123574162748	0.2310593000773543
43000	-4632.242290542577	-4540.589290599816	-91.65299994276099	-4540.589290599816	8.151232918117802	44.44052218850361	30.948120835997024	13.492401352506594	3	11	37	22	0	1.3726010695051263	0.9618554931429139	0.13664078615409905	1.070826468499493	0.00414729670484439	8.736893875546388	0.33240721870422885	0.29090584955583454	0.23999332673833568	0.2310123574162748	0.238088466289555
44000	-4634.4357733983525	-4542.808882404347	-91.62689099400562	-4542.808882404347	7.281920438215845	43.05132038081008	31.113359730715953	11.937960650094121	1	10	38	21	0	1.203415223863235	1.0120383470600727	0.11417148894173827	0.6487823455736013	0.004302902299023229	6.979080663468647	0.33240721870422885	0.29090584955583454	0.23999332673833568	0.2310123574162748	0.238088466289555
45000	-4640.349050373831	-4539.999942022084	-100.34910835174738	-4539.999942022084	7.336214753386248	45.0472807224552	27.381913377204555	17.665367345250644	5	8	32	27	0	1.1206418306458725	0.8033767692715952	0.12304365536143097	0.7282924979082784	0.0035478167413443857	6.979080663468647	0.33240721870422885	0.29090584955583454	0.23999332673833568	0.2310123574162748	0.238088466289555
46000	-4630.167825174742	-4540.159439916129	-90.0083852586132	-4540.159439916129	7.383923691428133	43.26621688364727	30.305663374660234	12.96055350898703	4	10	35	24	0	1.2665693626404806	0.4644603061573771	0.1456454069453939	0.892403811556527	0.003608882231181342	6.979080663468647	0.33240721870422885	0.29090584955583454	0.23999332673833568	0.2310123574162748	0.238088466289555
47000	-4640.314742821626	-4536.59137174561	-103.72337107601666	-4536.59137174561	7.331711029490429	44.09422822791825	30.55020176612929	13.54402646178896	8	13	34	25	0	1.2792173424094284	0.7246808603796572	0.1980907691168277	0.8267820243391957	0.00370688903430683	6.979080663468647	0.33240721870422885	0.29090584955583454	0.23999332673833568	0.2310123574162748	0.238088466289555
